DATAFLOW,LAST UPDATE,freq,reason,citizen,duration,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Hungary,2023,77479,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Ireland,2012,26818,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Ireland,2013,32780,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Ireland,2014,36728,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Ireland,2015,38433,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Ireland,2016,41279,u,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Ireland,2017,47901,u,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Ireland,2018,49939,u,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Ireland,2019,59278,u,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Ireland,2020,30382,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Ireland,2021,34935,u,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Ireland,2022,85793,u,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Ireland,2023,88595,u,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Iceland,2012,960,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Iceland,2013,995,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Iceland,2014,985,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Iceland,2015,1144,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Iceland,2016,1469,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Iceland,2017,1601,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Iceland,2018,1932,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Iceland,2019,2105,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Iceland,2020,2045,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Iceland,2021,2325,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Iceland,2022,3394,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Iceland,2023,3567,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Italy,2012,246760,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Italy,2013,243954,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Italy,2014,204335,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Italy,2015,178884,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Italy,2016,222398,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Italy,2017,256593,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Italy,2018,238863,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Italy,2019,238714,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Italy,2020,143697,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Italy,2021,274095,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Italy,2022,337788,b,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Italy,2023,389542,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Liechtenstein,2013,739,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Liechtenstein,2014,728,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Liechtenstein,2015,808,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Liechtenstein,2016,785,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Liechtenstein,2017,793,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Liechtenstein,2018,811,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Liechtenstein,2019,892,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Liechtenstein,2020,859,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Liechtenstein,2021,906,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Liechtenstein,2022,902,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Liechtenstein,2023,902,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Lithuania,2012,3696,,
