DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Croatia,2020,1.56,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Croatia,2021,1.63,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Croatia,2022,1.53,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Croatia,2023,1.47,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Hungary,2012,1.34,b,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Hungary,2013,1.35,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Hungary,2014,1.44,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Hungary,2015,1.45,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Hungary,2016,1.53,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Hungary,2017,1.54,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Hungary,2018,1.55,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Hungary,2019,1.55,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Hungary,2020,1.59,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Hungary,2021,1.61,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Hungary,2022,1.56,b,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Hungary,2023,1.55,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Ireland,2012,1.98,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Ireland,2013,1.93,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Ireland,2014,1.89,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Ireland,2015,1.85,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Ireland,2016,1.81,,
