geo,In thousand persons,year,Sex,Sector,workers_per_population
Austria,75.1,2022,Females,Other service activities,0.8364026489128047
Austria,4.5,2022,Females,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.050117335820341155
Austria,3.8,2022,Females,Activities of extraterritorial organisations and bodies,0.04232130580384365
Austria,49.8,2023,Females,"Agriculture, forestry and fishing",0.5469659207281632
Austria,128.45,2023,Females,Mining and quarrying,1.4107986449303727
Austria,207.1,2023,Females,Manufacturing,2.2746313691325826
Austria,6.0,2023,Females,"Electricity, gas, steam and air conditioning supply",0.06589950852146545
Austria,5.1,2023,Females,"Water supply; sewerage, waste management and remediation activities",0.05601458224324563
Austria,49.8,2023,Females,Construction,0.5469659207281632
Austria,334.8,2023,Females,Wholesale and retail trade; repair of motor vehicles and motorcycles,3.6771925754977715
Austria,50.0,2023,Females,Transportation and storage,0.5491625710122121
Austria,135.3,2023,Females,Accommodation and food service activities,1.486033917159046
Austria,50.6,2023,Females,Information and communication,0.5557525218643585
Austria,70.8,2023,Females,Financial and insurance activities,0.7776142005532923
Austria,19.5,2023,Females,Real estate activities,0.2141734026947627
Austria,138.2,2023,Females,"Professional, scientific and technical activities",1.5178853462777542
Austria,90.2,2023,Females,Administrative and support service activities,0.9906892781060306
Austria,157.0,2023,Females,Public administration and defence; compulsory social security,1.7243704729783458
Austria,217.1,2023,Females,Education,2.384463883335025
Austria,374.7,2023,Females,Human health and social work activities,4.115424307165518
Austria,38.0,2023,Females,"Arts, entertainment and recreation",0.41736355396928115
Austria,74.6,2023,Females,Other service activities,0.8193505559502203
Austria,4.5,2023,Females,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.04942463139109909
Austria,5.4,2023,Females,Activities of extraterritorial organisations and bodies,0.059309557669318905
Austria,45.4,2024,Females,"Agriculture, forestry and fishing",0.4957008325371912
Austria,121.25,2024,Females,Mining and quarrying,1.3238706155315954
Austria,197.1,2024,Females,Manufacturing,2.1520403985259997
