geo,year,EU,Ukraine,national,non_EU,foreigners,foreigners_pop_share,non_EU_pop_share,ukraine_pop_share,ukraine_for_share,non_EU_for_share,iso_a3
Portugal,2014,0.0,0.0,13004.0,10073.0,10073.0,0.0964468715901775,0.0964468715901775,0.0,0.0,100.0,PRT
Portugal,2015,0.0,0.0,20112.0,16737.0,16737.0,0.16100822684026475,0.16100822684026475,0.0,0.0,100.0,PRT
Portugal,2016,0.0,0.0,20386.0,17258.0,17258.0,0.16644558151503092,0.16644558151503092,0.0,0.0,100.0,PRT
Portugal,2017,0.0,0.0,26888.0,19763.0,19763.0,0.19104878950876011,0.19104878950876011,0.0,0.0,100.0,PRT
Portugal,2018,0.0,0.0,28982.0,26375.0,26375.0,0.2551817619780626,0.2551817619780626,0.0,0.0,100.0,PRT
Portugal,2019,0.0,0.0,43740.0,51642.0,51642.0,0.4997534232364342,0.4997534232364342,0.0,0.0,100.0,PRT
Portugal,2020,0.0,0.0,37770.0,45884.0,45884.0,0.4422385846514759,0.4422385846514759,0.0,0.0,100.0,PRT
Portugal,2021,0.0,0.0,48108.0,49011.0,49011.0,0.4715181796325427,0.4715181796325427,0.0,0.0,100.0,PRT
Portugal,2022,0.0,0.0,57454.0,109644.0,109644.0,1.0521328951589355,1.0521328951589355,0.0,0.0,100.0,PRT
Portugal,2023,0.0,0.0,56111.0,133256.0,133256.0,1.2670990045186565,1.2670990045186565,0.0,0.0,100.0,PRT
Romania,2008,4951.0,345.0,126757.0,20568.0,25519.0,0.12366576756709083,0.09967308700654115,0.0016718793765682955,1.351933853207414,80.59876954426115,ROU
Romania,2009,4456.0,82.0,124936.0,18287.0,22743.0,0.11126554466692987,0.08946546257416113,0.0004011684765724948,0.3605504990546542,80.40715824649342,ROU
Romania,2010,5953.0,238.0,136799.0,21068.0,27021.0,0.1331432474210117,0.10381044138506623,0.0011727209535620734,0.880796417601125,77.96898708411976,ROU
Romania,2011,3185.0,131.0,138397.0,17140.0,20325.0,0.10062349934222184,0.08485543806768424,0.0006485450634111222,0.6445264452644526,84.32964329643296,ROU
Romania,2012,3184.0,271.0,155613.0,22649.0,25833.0,0.12854799533200545,0.11270404313376654,0.00134852733848076,1.0490457941392792,87.67467967328611,ROU
Romania,2013,978.0,324.0,138923.0,30094.0,31072.0,0.1552042215228575,0.1503191246945441,0.0016183756363737714,1.0427394438722966,96.85247167868177,ROU
Romania,2014,1000.0,408.0,123916.0,24898.0,25898.0,0.12983203600725932,0.12481882896396412,0.0020453884736644453,1.5754112286663062,96.13869796895513,ROU
Romania,2015,7412.0,386.0,115485.0,28492.0,35904.0,0.1806886308231433,0.1433873793842747,0.001942563822909239,1.075089126559715,79.35606060606061,ROU
Romania,2016,5610.0,270.0,119560.0,32115.0,37725.0,0.19091033995198017,0.1625204921817851,0.0013663563097954844,0.7157057654075547,85.12922465208747,ROU
Romania,2017,9156.0,543.0,146315.0,49552.0,58708.0,0.29886047861354154,0.2522507058025858,0.002764209986495078,0.9249165360768549,84.40416978946651,ROU
Romania,2018,9133.0,585.0,141289.0,55565.0,64698.0,0.3312159261321625,0.2844603068956322,0.0029948579057670266,0.9042010572196977,85.88364400754274,ROU
Romania,2019,0.0,0.0,161286.0,43382.0,43382.0,0.22345202734992653,0.22345202734992653,0.0,0.0,100.0,ROU
Romania,2020,0.0,0.0,114469.0,36973.0,36973.0,0.1912841320311133,0.1912841320311133,0.0,0.0,100.0,ROU
Romania,2021,9878.0,760.0,149513.0,89273.0,99151.0,0.5163667603356418,0.4649232967437923,0.003957990719761654,0.7665076499480591,90.03741767606984,ROU
Romania,2022,11296.0,50258.0,190205.0,206375.0,217671.0,1.1430826539960315,1.0837625715801875,0.26392605365222077,23.08897372640361,94.81051678909914,ROU
Romania,2023,13596.0,1047.0,217518.0,208020.0,221616.0,1.1630609133315575,1.0917078694283382,0.005494751174365301,0.47243881308208796,93.86506389430366,ROU
Russia,2005,222.0,2580.0,162646.0,14376.0,14598.0,0.010174650262427984,0.010019918630816872,0.0017982324754804904,17.673653925195232,98.47924373201809,
Russia,2006,214.0,2083.0,170137.0,12816.0,13030.0,0.009127618828900445,0.008977710123652194,0.0014591580982808616,15.986185725249424,98.35763622409823,
Russia,2007,864.0,14962.0,218387.0,62697.0,63561.0,0.04469172225012559,0.04408421689268772,0.010520249025446092,23.539591888107488,98.6406758861566,
Slovakia,2008,6516.0,98.0,1350.0,8329.0,14845.0,0.2761313853406507,0.15492747110153451,0.0018228949655361244,0.6601549343213203,56.10643314247221,SVK
Slovakia,2009,4350.0,99.0,1205.0,5950.0,10300.0,0.1913644115330686,0.11054546103123866,0.0018393278390071645,0.9611650485436893,57.76699029126213,SVK
