geo,quarter,Country of citizenship,Sex,unemployment_rate,employment_rate
Estonia,2006-Q2,Foreign country,Total,0.0,65.51181102362204
Estonia,2006-Q2,Reporting country,Females,4.7550432276657055,67.74276197796566
Estonia,2006-Q2,Reporting country,Males,6.148748159057436,70.49225663716814
Estonia,2006-Q2,Reporting country,Total,5.444282592862344,69.06503524404842
Estonia,2006-Q2,Total,Females,6.489234449760765,66.64535379369138
Estonia,2006-Q2,Total,Males,6.257344300822562,71.65955535593982
Estonia,2006-Q2,Total,Total,6.386131278707957,69.08693275013668
Estonia,2006-Q3,Foreign country,Females,0.0,67.4074074074074
Estonia,2006-Q3,Foreign country,Males,0.0,73.66946778711484
Estonia,2006-Q3,Foreign country,Total,0.0,70.97288676236045
Estonia,2006-Q3,Reporting country,Females,4.936936936936936,65.9090909090909
Estonia,2006-Q3,Reporting country,Males,4.821958456973293,70.91512303013548
Estonia,2006-Q3,Reporting country,Total,4.880277828550539,68.28500196824562
Estonia,2006-Q3,Total,Females,5.748539809406701,65.10936504565727
Estonia,2006-Q3,Total,Males,5.20368718406185,71.8018018018018
Estonia,2006-Q3,Total,Total,5.4715840386940755,68.35719750792435
Estonia,2006-Q4,Foreign country,Females,0.0,57.36434108527132
Estonia,2006-Q4,Foreign country,Males,24.0625,63.94736842105263
Estonia,2006-Q4,Foreign country,Total,18.200836820083683,61.28526645768025
Estonia,2006-Q4,Reporting country,Females,3.8529515729939914,66.99507389162561
Estonia,2006-Q4,Reporting country,Males,4.068682344158268,71.76766266406031
Estonia,2006-Q4,Reporting country,Total,3.957879448075527,69.2096309866527
Estonia,2006-Q4,Total,Females,5.0691244239631335,65.47997457088367
Estonia,2006-Q4,Total,Males,6.136230182031708,71.95588566284043
Estonia,2006-Q4,Total,Total,5.614772556673172,68.60947391399257
Estonia,2007-Q1,Foreign country,Females,0.0,60.07326007326007
Estonia,2007-Q1,Foreign country,Males,0.0,68.4981684981685
Estonia,2007-Q1,Foreign country,Total,0.0,64.46886446886447
Estonia,2007-Q1,Reporting country,Females,2.846580406654344,66.75133350266701
Estonia,2007-Q1,Reporting country,Males,6.137832017229003,71.48715144887917
Estonia,2007-Q1,Reporting country,Total,4.516481515206702,69.03225806451613
Estonia,2007-Q1,Total,Females,3.8679245283018875,65.62902533276083
Estonia,2007-Q1,Total,Males,6.7172897196261685,72.42004989793604
Estonia,2007-Q1,Total,Total,5.345245305875227,68.94231829712143
Estonia,2007-Q2,Foreign country,Females,0.0,72.75985663082439
Estonia,2007-Q2,Foreign country,Males,0.0,67.58893280632411
